19	PAUL HARDCASTLE
2 Become 1	SPICE GIRLS
21 Seconds	SO SOLID CREW
3 Am Eternal	KLF FEATURING THE CHILDREN OF THE REVOLUTION
4 Minutes	MADONNA FEAT. JUSTIN TIMBERLAKE
7 Days	CRAIG DAVID
7 Years	LUKAS GRAHAM
99 Red Balloons	NENA
9pm Till I Come	ATB
A Bridge Over You	THE LEWISHAM & GREENWICH NHS CHOIR
A Different Beat	BOYZONE
A Different Corner	GEORGE MICHAEL
A Good Heart	FEARGAL SHARKEY
A Groovy Kind Of Love	PHIL COLLINS
A Hard Day's Night	BEATLES
A Little Bit More	911
A Little Less Conversation	ELVIS VS JXL
A Little Peace	NICOLE
A Little Time	BEAUTIFUL SOUTH
A Moment Like This	LEONA LEWIS
A Town Called Malice	JAM
A Whiter Shade Of Pale	PROCOL HARUM
A World Without Love	PETER & GORDON
Abba-esque Ep	ERASURE
About You Now	SUGABABES
Against All Odds	MARIAH CAREY FEATURING WESTLIFE
Against All Odds	STEVE BROOKSTEIN
Ain't No Doubt	JIMMY NAIL
Ain't Nobody	LL COOL J
Airplanes	BOB FT HAYLEY WILLIAMS
Albatross	FLEETWOOD MAC
All About That Bass	MEGHAN TRAINOR
All About Tonight	PIXIE LOTT
All About You	MCFLY
All Around The World	LISA STANSFIELD
All Around The World	OASIS
All Kinds Of Everything	DANA
All Or Nothing	SMALL FACES
All Summer Long	KID ROCK
All That I Need	BOYZONE
All That She Wants	ACE OF BASE
All The Things She Said	T.A.T.u.
All This Time	MICHELLE
All Time Low	WANTED
All You Need Is Love	BEATLES
Always On My Mind	PET SHOP BOYS
Always Yours	GARY GLITTER
Am I Wrong	NICO & VINZ
Amazing Grace	THE PIPES & DRUMS & MILITARY BAND OF THE ROYAL SCOTS DRAGOON GUARDS
America	RAZORLIGHT
American Boy	ESTELLE FEAT. KANYE WEST
American Pie	MADONNA
Angel	SHAGGY FEATURING RAYVON
Angel Fingers	WIZZARD
Angelo	BROTHERHOOD OF MAN
Animals	MARTIN GARRIX
Annie's Song	JOHN DENVER
Another Brick In The Wall Part 2	PINK FLOYD
Another Chance	ROGER SANCHEZ
Any Dream Will Do	JASON DONOVAN
Anyone Of Us Stupid Mistake	GARETH GATES
Anyone Who Had A Heart	CILLA BLACK
Anything Is Possible/ Evergreen	WILL YOUNG
Apache	SHADOWS
Are 'Friends' Electric?	TUBEWAY ARMY
Are You Lonesome Tonight	ELVIS PRESLEY WITH THE JORDANAIRES
Are You Ready For Love	ELTON JOHN
Are You With Me	LOST FREQUENCIES
Ashes To Ashes	DAVID BOWIE
Atomic	BLONDIE
Axel F	CRAZY FROG
Babe	TAKE THAT
Baby Come Back	EQUALS
Baby Come Back	PATO BANTON
Baby Jane	ROD STEWART
Baby Jump	MUNGO JERRY
Baby Love	SUPREMES
Baby Now That I've Found You	FOUNDATIONS
Baby One More Time	BRITNEY SPEARS
Baby's Coming Back	McFLY
Babycakes	3 OF A KIND
Back For Good	TAKE THAT
Back Home	ENGLAND WORLD CUP SQUAD
Back To Life However Do You Want Me	SOUL II SOUL FEATURING CARON WHEELER
Bad Boys	ALEXANDRA BURKE FEAT. FLO RIDA
Bad Moon Rising	CREEDENCE CLEARWATER REVIVAL
Bad Romance	LADY GAGA
Bad To Me	BILLY J. KRAMER & THE DAKOTAS
Bag It Up	GERI HALLIWELL
Band Of Gold	FREDA PAYNE
Bang Bang	JESSIE J
Barbados	TYPICALLY TROPICAL
Barbie Girl	AQUA
Be Faithful	FATMAN SCOOP FEAT. THE CROOKLYN CLAN
Beat Again	JLS
Beat Surrender	JAM
Beautiful	CHRISTINA AGUILERA
Beautiful Day	U2
Beautiful Girls	SEAN KINGSTON
Beautiful Liar	BEYONCE & SHAKIRA
Beautiful Monster	NEYO
Because I Got High	AFROMAN
Because We Want To	BILLIE
Beetlebum	BLUR
Begin The Beguine	JULIO IGLESIAS
Being With You	SMOKEY ROBINSON
Belfast Child	SIMPLE MINDS
Believe	CHER
Beneath Your Beautiful	LABRINTH FT EMELI SANDE
Billie Jean	MICHAEL JACKSON
Billy, Don't Be A Hero	PAPER LACE
Black Coffee	ALL SAINTS
Black Magic	LITTLE MIX
Black Or White	MICHAEL JACKSON
Blackberry Way	MOVE
Blame	CALVIN HARRIS FT JOHN NEWMAN
Blame It On The Weatherman	B*WITCHED
Bleeding Love	LEONA LEWIS
Block Rockin' Beats	CHEMICAL BROTHERS
Blockbuster	SWEET
Blood On The Dance Floor	MICHAEL JACKSON
Blue Da Ba Dee	EIFFEL 65
Blue Moon	MARCELS
Blurred Lines	ROBIN THICKE
Bohemian Rhapsody	QUEEN
Bom Bom	SAM & THE WOMP
Bonkers	DIZZEE RASCAL FEAT. ARMAND VAN HELDEN
Boom Boom Boom	OUTHERE BROTHERS
Boom Boom Boom Boom!!	VENGABOYS
Boom Boom Pow	BLACK EYED PEAS
Boom! Shake The Room	JAZZY JEFF & THE FRESH PRINCE
Boombastic	SHAGGY
Bootie Call	ALL SAINTS
Born To Make You Happy	BRITNEY SPEARS
Bound 4 Da Reload Casualty	OXIDE & NEUTRINO
Boys And Girls	PIXIE LOTT
Brass In Pocket	PRETENDERS
Break Your Heart	TAIO CRUZ
Breakfast At Tiffany's	DEEP BLUE SOMETHING
Breathe	BLU CANTRELL FEAT. SEAN PAUL
Breathe	PRODIGY
Breathless	CORRS
Bridge Over Troubled Water	ARTISTS FOR GLENFELL
Bridge Over Troubled Water	SIMON & GARFUNKEL
Bright Eyes	ART GARFUNKEL
Brimful Of Asha	CORNERSHOP
Bring It All Back	S CLUB 7
Bring Me To Life	EVANESCENCE
Bring Your Daughter To The Slaughter	IRON MAIDEN
Bulletproof	LA ROUX
Burn	ELLIE GOULDING
Burn	USHER
Bye Bye Baby	BAY CITY ROLLERS
C'est La Vie	B*WITCHED
California Gurls	KATY PERRY FT SNOOP DOGG
Call Me	BLONDIE
Call Me Maybe	CARLY RAE JEPSEN
Call My Name	CHERYL
Call On Me	ERIC PRYDZ
Can The Can	SUZI QUATRO
Can We Fix It	BOB THE BUILDER
Can't Buy Me Love	BEATLES
Can't Fight The Moonlight	LEANN RIMES
Can't Get You Out Of My Head	KYLIE MINOGUE
Can't Give You Anything But My Love	STYLISTICS
Candy	ROBBIE WILLIAMS
Candy Girl	NEW EDITION
Cannonball	LITTLE MIX
Caravan Of Love	HOUSEMARTINS
Careless Whisper	GEORGE MICHAEL
Cars	GARY NUMAN
Cathy's Clown	EVERLY BROTHERS
Cha Cha Slide	DJ CASPER
Chain Reaction	DIANA ROSS
Changed The Way You Kiss Me	EXAMPLE
Changes	OZZY & KELLY OSBOURNE
Changing	SIGMA FT PALOMA FAITH
Chanson D'amour	MANHATTAN TRANSFER
Cheerleader	OMI
China In Your Hand	T'PAU
Chirpy Chirpy Cheep Cheep	MIDDLE OF THE ROAD
Chocolate Salty Balls	CHEF
Cinderella Rockefella	ESTHER & ABI OFARIM
Clair	GILBERT O'SULLIVAN
Closer	NE-YO
Closer	THE CHAINSMOKERS FT HALSEY
Club Can't Handle Me	FLO RIDA FT DAVID GUETTA
Cold Water	MAJOR LAZER FT JUSTIN BIEBER & MØ
Colourblind	DARIUS
Combine Harvester Brand New Key	WURZELS
Come On Eileen	DEXY'S MIDNIGHT RUNNERS WITH THE EMERALD EXPRESS
Come On You Reds	MANCHESTER UNITED FOOTBALL CLUB
Come Outside	MIKE SARNE WITH WENDY RICHARD
Concrete And Clay	UNIT FOUR PLUS TWO
Confessin' That I Love You	FRANK IFIELD
Congratulations	CLIFF RICHARD
Cotton Eye Joe	REDNEX
Counting Stars	ONEREPUBLIC
Country House	BLUR
